Date,Log
2018-06-27 23:14:51.510728,Poputepipikku resynapsed.
2018-06-27 23:14:53.513191,Poputepipikku conquered.
2018-06-27 23:14:55.513612,Save Completed.
2018-06-27 23:22:36.851429,Commencing Fragmentation: Uhou Renka 1
2018-06-27 23:22:36.851429,Selected Fragment is unavailable.
2018-06-27 23:23:09.847838,Save Completed.
2018-06-28 00:16:00.031600,Save Completed.
2018-06-28 02:07:22.511475,Commencing Fragmentation: Joshiraku Episode 7
2018-06-28 02:07:22.511475,Selected Fragment is unavailable.
2018-06-28 02:08:05.505645,Commencing Fragmentation: Joshiraku Episode 7
2018-06-28 02:32:27.535929,Save Completed.
2018-06-28 03:05:57.638482,Save Completed.
2018-06-28 03:06:04.630489,Commencing Fragmentation: Joshiraku Episode 9
2018-06-28 03:33:46.996735,Save Completed.
2018-06-28 12:58:58.880362,Battle Royal High School Installed.
2018-06-28 12:59:01.879490,Save Completed.
2018-06-28 15:02:17.245966,Kachou Ouji Installed.
2018-06-28 15:02:19.260395,Save Completed.
2018-06-28 19:31:55.702313,Commencing Fragmentation: Joshiraku Episode 10
2018-06-28 19:40:28.767941,Commencing Fragmentation: Joshiraku Episode 10
2018-06-28 20:04:39.547668,Save Completed.
2018-06-28 22:32:13.199530,Kino no Tabi- The Beautiful World added to Fragmentations List.
2018-06-28 22:32:16.348850,Copied World: Kino no Tabi- The Beautiful World
2018-06-29 00:10:38.469947,Save Completed.
2018-06-29 05:18:15.783371,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 1
2018-06-29 05:18:15.783371,Selected Fragment is unavailable.
2018-06-29 05:18:20.779989,Copied World: Kino no Tabi- The Beautiful World
2018-06-29 05:19:06.760489,Commencing Fragmentation: Joshiraku Episode 11
2018-06-29 05:43:29.985027,Save Completed.
2018-06-29 19:29:28.309400,Mitsu x Mitsu Drops Installed on OUTER SAPIENTIA.
2018-06-29 19:29:33.303023,Save Completed.
2018-06-29 23:12:07.519770,Commencing Fragmentation: Joshiraku Episode 12
2018-06-29 23:36:49.237263,Save Completed.
2018-06-30 04:18:47.616862,Commencing Fragmentation: Joshiraku Episode 13
2018-06-30 04:44:23.830051,Save Completed.
2018-06-30 04:44:24.828815,Copied World: Joshiraku
2018-06-30 04:44:25.830528,Joshiraku conquered.
2018-06-30 04:44:28.832684,Save Completed.
2018-06-30 05:58:05.711450,Commencing Fragmentation: Joshiraku OVA Episode 1
2018-06-30 05:58:11.788773,Copied World: Joshiraku
2018-06-30 06:05:33.895980,Commencing Fragmentation: Joshiraku OVA Episode 1
2018-06-30 06:29:39.441505,Save Completed.
2018-07-01 00:04:49.605011,Backup completed.
2018-07-01 00:07:05.692082,Save Completed.
2018-07-01 04:32:46.423800,Sayonara no Asa ni Yakusoku no Hana wo Kazarou Installed on OUTER SAPIENTIA.
2018-07-01 04:32:53.422781,Save Completed.
2018-07-01 06:06:35.800789,Save Completed.
2018-07-01 19:36:02.954751,1 World selected.
2018-07-01 21:16:26.120357,1 World selected.
2018-07-01 21:16:32.114893,0 World selected.
2018-07-01 21:17:17.168054,1 World selected.
2018-07-01 21:18:03.113783,Please fill the legit number of Fragments to populate.
2018-07-01 21:57:16.717352,Copied World: Night Walker- Mayonaka no Tantei
2018-07-01 21:59:13.732225,Commencing Fragmentation: Lance N' Masques Episode 10
2018-07-01 21:59:48.463606,Copied World: Sumomomo Momomo
2018-07-01 22:17:56.074070,Commencing Fragmentation: Tsunpuri
